Kanal;   Energie(keV); Impulse
       1;    16.9617;         1550   
       2;    17.8370;         1604   
       3;    18.7122;         1547   
       4;    19.5875;         1439   
       5;    20.4628;         1404   
       6;    21.3381;         1322   
       7;    22.2133;         1334   
       8;    23.0886;         1335   
       9;    23.9639;         1291   
      10;    24.8392;         1301   
      11;    25.7144;         1196   
      12;    26.5897;         1224   
      13;    27.4650;         1236   
      14;    28.3403;         1213   
      15;    29.2155;         1142   
      16;    30.0908;         1196   
      17;    30.9661;         1117   
      18;    31.8414;         1181   
      19;    32.7166;         1209   
      20;    33.5919;         1123   
      21;    34.4672;         1119   
      22;    35.3425;         1167   
      23;    36.2177;         1131   
      24;    37.0930;         1093   
      25;    37.9683;         1102   
      26;    38.8436;         1070   
      27;    39.7188;         1114   
      28;    40.5941;         1100   
      29;    41.4694;         1166   
      30;    42.3447;         1117   
      31;    43.2199;         1086   
      32;    44.0952;         1010   
      33;    44.9705;         1118   
      34;    45.8458;         1054   
      35;    46.7210;         1098   
      36;    47.5963;         1097   
      37;    48.4716;         1121   
      38;    49.3469;         1060   
      39;    50.2221;          986   
      40;    51.0974;         1027   
      41;    51.9727;          984   
      42;    52.8480;         1008   
      43;    53.7232;         1007   
      44;    54.5985;          976   
      45;    55.4738;          933   
      46;    56.3491;          955   
      47;    57.2243;          951   
      48;    58.0996;          974   
      49;    58.9749;          982   
      50;    59.8502;         1018   
      51;    60.7254;         1055   
      52;    61.6007;          991   
      53;    62.4760;         1029   
      54;    63.3513;         1026   
      55;    64.2265;         1006   
      56;    65.1018;         1011   
      57;    65.9771;         1030   
      58;    66.8524;         1004   
      59;    67.7276;         1073   
      60;    68.6029;         1098   
      61;    69.4782;         1100   
      62;    70.3535;         1114   
      63;    71.2287;         1147   
      64;    72.1040;         1124   
      65;    72.9793;         1197   
      66;    73.8546;         1622   
      67;    74.7298;         1989   
      68;    75.6051;         1845   
      69;    76.4804;         2468   
      70;    77.3557;         2134   
      71;    78.2309;         1247   
      72;    79.1062;         1177   
      73;    79.9815;         1217   
      74;    80.8568;         1160   
      75;    81.7320;         1217   
      76;    82.6073;         1167   
      77;    83.4826;         1289   
      78;    84.3579;         1324   
      79;    85.2331;         1510   
      80;    86.1084;         2103   
      81;    86.9837;         2004   
      82;    87.8590;         1524   
      83;    88.7342;         1570   
      84;    89.6095;         1498   
      85;    90.4848;         1292   
      86;    91.3601;         1268   
      87;    92.2353;         1228   
      88;    93.1106;         1262   
      89;    93.9859;         1296   
      90;    94.8612;         1248   
      91;    95.7364;         1251   
      92;    96.6117;         1275   
      93;    97.4870;         1326   
      94;    98.3623;         1324   
      95;    99.2375;         1277   
      96;   100.1128;         1290   
      97;   100.9881;         1317   
      98;   101.8634;         1247   
      99;   102.7386;         1288   
     100;   103.6139;         1311   
     101;   104.4892;         1328   
     102;   105.3645;         1319   
     103;   106.2397;         1356   
     104;   107.1150;         1368   
     105;   107.9903;         1351   
     106;   108.8656;         1342   
     107;   109.7408;         1395   
     108;   110.6161;         1420   
     109;   111.4914;         1397   
     110;   112.3667;         1374   
     111;   113.2419;         1426   
     112;   114.1172;         1435   
     113;   114.9925;         1402   
     114;   115.8678;         1471   
     115;   116.7430;         1417   
     116;   117.6183;         1442   
     117;   118.4936;         1433   
     118;   119.3689;         1436   
     119;   120.2441;         1461   
     120;   121.1194;         1528   
     121;   121.9947;         3026   
     122;   122.8700;         8662   
     123;   123.7452;         7503   
     124;   124.6205;         2321   
     125;   125.4958;         1405   
     126;   126.3711;         1266   
     127;   127.2463;         1331   
     128;   128.1216;         1342   
     129;   128.9969;         1282   
     130;   129.8722;         1226   
     131;   130.7474;         1197   
     132;   131.6227;         1246   
     133;   132.4980;         1267   
     134;   133.3733;         1273   
     135;   134.2485;         1217   
     136;   135.1238;         1196   
     137;   135.9991;         1246   
     138;   136.8744;         1290   
     139;   137.7496;         1341   
     140;   138.6249;         1208   
     141;   139.5002;         1213   
     142;   140.3755;         1237   
     143;   141.2507;         1301   
     144;   142.1260;         1248   
     145;   143.0013;         1231   
     146;   143.8766;         1284   
     147;   144.7518;         1334   
     148;   145.6271;         1290   
     149;   146.5024;         1254   
     150;   147.3777;         1273   
     151;   148.2529;         1284   
     152;   149.1282;         1301   
     153;   150.0035;         1245   
     154;   150.8788;         1353   
     155;   151.7540;         1275   
     156;   152.6293;         1249   
     157;   153.5046;         1264   
     158;   154.3799;         1243   
     159;   155.2551;         1316   
     160;   156.1304;         1228   
     161;   157.0057;         1246   
     162;   157.8810;         1286   
     163;   158.7562;         1323   
     164;   159.6315;         1267   
     165;   160.5068;         1189   
     166;   161.3821;         1278   
     167;   162.2573;         1310   
     168;   163.1326;         1245   
     169;   164.0079;         1237   
     170;   164.8832;         1225   
     171;   165.7584;         1225   
     172;   166.6337;         1237   
     173;   167.5090;         1257   
     174;   168.3843;         1234   
     175;   169.2595;         1219   
     176;   170.1348;         1206   
     177;   171.0101;         1248   
     178;   171.8854;         1219   
     179;   172.7606;         1289   
     180;   173.6359;         1269   
     181;   174.5112;         1237   
     182;   175.3865;         1327   
     183;   176.2617;         1316   
     184;   177.1370;         1296   
     185;   178.0123;         1240   
     186;   178.8876;         1278   
     187;   179.7628;         1312   
     188;   180.6381;         1209   
     189;   181.5134;         1327   
     190;   182.3887;         1384   
     191;   183.2639;         1402   
     192;   184.1392;         1449   
     193;   185.0145;         1468   
     194;   185.8898;         1597   
     195;   186.7650;         1653   
     196;   187.6403;         1732   
     197;   188.5156;         1729   
     198;   189.3909;         1616   
     199;   190.2661;         1632   
     200;   191.1414;         1636   
     201;   192.0167;         1630   
     202;   192.8920;         1618   
     203;   193.7672;         1581   
     204;   194.6425;         1567   
     205;   195.5178;         1539   
     206;   196.3931;         1615   
     207;   197.2683;         1568   
     208;   198.1436;         1586   
     209;   199.0189;         1500   
     210;   199.8942;         1553   
     211;   200.7694;         1558   
     212;   201.6447;         1569   
     213;   202.5200;         1432   
     214;   203.3953;         1404   
     215;   204.2705;         1471   
     216;   205.1458;         1429   
     217;   206.0211;         1414   
     218;   206.8964;         1437   
     219;   207.7716;         1441   
     220;   208.6469;         1387   
     221;   209.5222;         1433   
     222;   210.3975;         1436   
     223;   211.2727;         1345   
     224;   212.1480;         1398   
     225;   213.0233;         1334   
     226;   213.8986;         1396   
     227;   214.7738;         1329   
     228;   215.6491;         1288   
     229;   216.5244;         1344   
     230;   217.3997;         1292   
     231;   218.2749;         1269   
     232;   219.1502;         1245   
     233;   220.0255;         1322   
     234;   220.9008;         1276   
     235;   221.7760;         1286   
     236;   222.6513;         1270   
     237;   223.5266;         1193   
     238;   224.4019;         1222   
     239;   225.2771;         1217   
     240;   226.1524;         1170   
     241;   227.0277;         1150   
     242;   227.9030;         1115   
     243;   228.7782;         1174   
     244;   229.6535;         1214   
     245;   230.5288;         1190   
     246;   231.4041;         1064   
     247;   232.2793;         1129   
     248;   233.1546;         1081   
     249;   234.0299;         1069   
     250;   234.9052;         1098   
     251;   235.7804;         1040   
     252;   236.6557;         1065   
     253;   237.5310;         1109   
     254;   238.4063;         1100   
     255;   239.2815;         1111   
     256;   240.1568;         1063   
     257;   241.0321;          992   
     258;   241.9074;         1027   
     259;   242.7826;         1008   
     260;   243.6579;         1123   
     261;   244.5332;         1902   
     262;   245.4085;         2673   
     263;   246.2837;         1643   
     264;   247.1590;          960   
     265;   248.0343;          937   
     266;   248.9096;          900   
     267;   249.7848;          931   
     268;   250.6601;          889   
     269;   251.5354;          956   
     270;   252.4107;          905   
     271;   253.2859;          899   
     272;   254.1612;          908   
     273;   255.0365;          878   
     274;   255.9118;          835   
     275;   256.7870;          851   
     276;   257.6623;          897   
     277;   258.5376;          939   
     278;   259.4129;          820   
     279;   260.2881;          861   
     280;   261.1634;          853   
     281;   262.0387;          850   
     282;   262.9140;          832   
     283;   263.7892;          837   
     284;   264.6645;          857   
     285;   265.5398;          840   
     286;   266.4151;          809   
     287;   267.2903;          895   
     288;   268.1656;          817   
     289;   269.0409;          771   
     290;   269.9162;          839   
     291;   270.7914;          818   
     292;   271.6667;          831   
     293;   272.5420;          862   
     294;   273.4173;          793   
     295;   274.2925;          795   
     296;   275.1678;          822   
     297;   276.0431;          850   
     298;   276.9184;          792   
     299;   277.7936;          837   
     300;   278.6689;          814   
     301;   279.5442;          800   
     302;   280.4195;          815   
     303;   281.2947;          798   
     304;   282.1700;          770   
     305;   283.0453;          812   
     306;   283.9206;          798   
     307;   284.7958;          752   
     308;   285.6711;          803   
     309;   286.5464;          769   
     310;   287.4217;          799   
     311;   288.2969;          850   
     312;   289.1722;          822   
     313;   290.0475;          758   
     314;   290.9228;          810   
     315;   291.7980;          802   
     316;   292.6733;          775   
     317;   293.5486;          775   
     318;   294.4239;          784   
     319;   295.2991;          813   
     320;   296.1744;          882   
     321;   297.0497;          828   
     322;   297.9250;          747   
     323;   298.8002;          761   
     324;   299.6755;          790   
     325;   300.5508;          739   
     326;   301.4261;          775   
     327;   302.3013;          753   
     328;   303.1766;          793   
     329;   304.0519;          826   
     330;   304.9272;          762   
     331;   305.8024;          800   
     332;   306.6777;          785   
     333;   307.5530;          799   
     334;   308.4283;          813   
     335;   309.3035;          712   
     336;   310.1788;          765   
     337;   311.0541;          745   
     338;   311.9294;          758   
     339;   312.8046;          725   
     340;   313.6799;          762   
     341;   314.5552;          714   
     342;   315.4305;          787   
     343;   316.3057;          723   
     344;   317.1810;          760   
     345;   318.0563;          737   
     346;   318.9316;          701   
     347;   319.8068;          721   
     348;   320.6821;          716   
     349;   321.5574;          712   
     350;   322.4327;          779   
     351;   323.3079;          752   
     352;   324.1832;          759   
     353;   325.0585;          742   
     354;   325.9338;          743   
     355;   326.8090;          713   
     356;   327.6843;          671   
     357;   328.5596;          771   
     358;   329.4349;          793   
     359;   330.3101;          742   
     360;   331.1854;          743   
     361;   332.0607;          743   
     362;   332.9360;          713   
     363;   333.8112;          720   
     364;   334.6865;          699   
     365;   335.5618;          690   
     366;   336.4371;          696   
     367;   337.3123;          731   
     368;   338.1876;          697   
     369;   339.0629;          743   
     370;   339.9382;          684   
     371;   340.8134;          692   
     372;   341.6887;          709   
     373;   342.5640;          937   
     374;   343.4393;         2736   
     375;   344.3145;         5143   
     376;   345.1898;         3146   
     377;   346.0651;         1071   
     378;   346.9404;          721   
     379;   347.8156;          673   
     380;   348.6909;          719   
     381;   349.5662;          739   
     382;   350.4415;          735   
     383;   351.3167;          776   
     384;   352.1920;          767   
     385;   353.0673;          754   
     386;   353.9426;          711   
     387;   354.8178;          662   
     388;   355.6931;          718   
     389;   356.5684;          714   
     390;   357.4437;          699   
     391;   358.3189;          694   
     392;   359.1942;          695   
     393;   360.0695;          679   
     394;   360.9448;          702   
     395;   361.8200;          646   
     396;   362.6953;          688   
     397;   363.5706;          714   
     398;   364.4459;          688   
     399;   365.3211;          669   
     400;   366.1964;          662   
     401;   367.0717;          724   
     402;   367.9470;          789   
     403;   368.8222;          770   
     404;   369.6975;          754   
     405;   370.5728;          690   
     406;   371.4481;          682   
     407;   372.3233;          659   
     408;   373.1986;          644   
     409;   374.0739;          640   
     410;   374.9492;          670   
     411;   375.8244;          673   
     412;   376.6997;          664   
     413;   377.5750;          703   
     414;   378.4503;          649   
     415;   379.3255;          688   
     416;   380.2008;          731   
     417;   381.0761;          629   
     418;   381.9514;          720   
     419;   382.8266;          685   
     420;   383.7019;          749   
     421;   384.5772;          697   
     422;   385.4525;          707   
     423;   386.3277;          744   
     424;   387.2030;          705   
     425;   388.0783;          730   
     426;   388.9536;          680   
     427;   389.8288;          680   
     428;   390.7041;          716   
     429;   391.5794;          742   
     430;   392.4547;          707   
     431;   393.3299;          681   
     432;   394.2052;          752   
     433;   395.0805;          721   
     434;   395.9558;          710   
     435;   396.8310;          705   
     436;   397.7063;          718   
     437;   398.5816;          709   
     438;   399.4569;          765   
     439;   400.3321;          813   
     440;   401.2074;          706   
     441;   402.0827;          763   
     442;   402.9580;          742   
     443;   403.8332;          768   
     444;   404.7085;          768   
     445;   405.5838;          717   
     446;   406.4591;          744   
     447;   407.3343;          753   
     448;   408.2096;          730   
     449;   409.0849;          786   
     450;   409.9602;          948   
     451;   410.8354;         1025   
     452;   411.7107;          929   
     453;   412.5860;          768   
     454;   413.4613;          753   
     455;   414.3365;          770   
     456;   415.2118;          828   
     457;   416.0871;          799   
     458;   416.9624;          829   
     459;   417.8376;          754   
     460;   418.7129;          758   
     461;   419.5882;          819   
     462;   420.4635;          792   
     463;   421.3387;          823   
     464;   422.2140;          776   
     465;   423.0893;          851   
     466;   423.9646;          782   
     467;   424.8398;          863   
     468;   425.7151;          854   
     469;   426.5904;          771   
     470;   427.4657;          863   
     471;   428.3409;          786   
     472;   429.2162;          828   
     473;   430.0915;          827   
     474;   430.9668;          776   
     475;   431.8420;          838   
     476;   432.7173;          842   
     477;   433.5926;          801   
     478;   434.4679;          830   
     479;   435.3431;          861   
     480;   436.2184;          858   
     481;   437.0937;          877   
     482;   437.9690;          893   
     483;   438.8442;          827   
     484;   439.7195;          897   
     485;   440.5948;          826   
     486;   441.4701;          899   
     487;   442.3453;         1035   
     488;   443.2206;         1243   
     489;   444.0959;         1172   
     490;   444.9712;          946   
     491;   445.8464;          905   
     492;   446.7217;          955   
     493;   447.5970;          875   
     494;   448.4723;          899   
     495;   449.3475;          957   
     496;   450.2228;          955   
     497;   451.0981;          921   
     498;   451.9734;          946   
     499;   452.8486;          920   
     500;   453.7239;          927   
     501;   454.5992;          924   
     502;   455.4745;          975   
     503;   456.3497;          915   
     504;   457.2250;         1014   
     505;   458.1003;          931   
     506;   458.9756;          943   
     507;   459.8508;          921   
     508;   460.7261;          934   
     509;   461.6014;          987   
     510;   462.4767;          936   
     511;   463.3519;         1024   
     512;   464.2272;          954   
     513;   465.1025;         1007   
     514;   465.9778;          992   
     515;   466.8530;          938   
     516;   467.7283;          996   
     517;   468.6036;         1002   
     518;   469.4789;          990   
     519;   470.3541;         1013   
     520;   471.2294;         1009   
     521;   472.1047;          959   
     522;   472.9800;          894   
     523;   473.8552;          962   
     524;   474.7305;          931   
     525;   475.6058;          885   
     526;   476.4811;          856   
     527;   477.3563;          751   
     528;   478.2316;          770   
     529;   479.1069;          720   
     530;   479.9822;          656   
     531;   480.8574;          694   
     532;   481.7327;          598   
     533;   482.6080;          622   
     534;   483.4833;          621   
     535;   484.3585;          586   
     536;   485.2338;          591   
     537;   486.1091;          635   
     538;   486.9844;          586   
     539;   487.8596;          630   
     540;   488.7349;          542   
     541;   489.6102;          575   
     542;   490.4855;          555   
     543;   491.3607;          541   
     544;   492.2360;          561   
     545;   493.1113;          521   
     546;   493.9866;          578   
     547;   494.8618;          494   
     548;   495.7371;          564   
     549;   496.6124;          483   
     550;   497.4877;          541   
     551;   498.3629;          488   
     552;   499.2382;          473   
     553;   500.1135;          468   
     554;   500.9888;          499   
     555;   501.8640;          516   
     556;   502.7393;          472   
     557;   503.6146;          470   
     558;   504.4899;          479   
     559;   505.3651;          438   
     560;   506.2404;          458   
     561;   507.1157;          425   
     562;   507.9910;          454   
     563;   508.8662;          485   
     564;   509.7415;          465   
     565;   510.6168;          487   
     566;   511.4921;          454   
     567;   512.3673;          420   
     568;   513.2426;          408   
     569;   514.1179;          436   
     570;   514.9932;          401   
     571;   515.8684;          412   
     572;   516.7437;          424   
     573;   517.6190;          401   
     574;   518.4943;          400   
     575;   519.3695;          417   
     576;   520.2448;          382   
     577;   521.1201;          397   
     578;   521.9954;          375   
     579;   522.8706;          368   
     580;   523.7459;          377   
     581;   524.6212;          390   
     582;   525.4965;          345   
     583;   526.3717;          371   
     584;   527.2470;          351   
     585;   528.1223;          338   
     586;   528.9976;          329   
     587;   529.8728;          338   
     588;   530.7481;          323   
     589;   531.6234;          322   
     590;   532.4987;          310   
     591;   533.3739;          347   
     592;   534.2492;          299   
     593;   535.1245;          316   
     594;   535.9998;          304   
     595;   536.8750;          323   
     596;   537.7503;          310   
     597;   538.6256;          314   
     598;   539.5009;          270   
     599;   540.3761;          311   
     600;   541.2514;          279   
     601;   542.1267;          281   
     602;   543.0020;          260   
     603;   543.8772;          292   
     604;   544.7525;          298   
     605;   545.6278;          254   
     606;   546.5031;          278   
     607;   547.3783;          254   
     608;   548.2536;          271   
     609;   549.1289;          294   
     610;   550.0042;          263   
     611;   550.8794;          246   
     612;   551.7547;          253   
     613;   552.6300;          251   
     614;   553.5053;          246   
     615;   554.3805;          237   
     616;   555.2558;          247   
     617;   556.1311;          225   
     618;   557.0064;          242   
     619;   557.8816;          230   
     620;   558.7569;          252   
     621;   559.6322;          234   
     622;   560.5075;          240   
     623;   561.3827;          242   
     624;   562.2580;          248   
     625;   563.1333;          288   
     626;   564.0086;          239   
     627;   564.8838;          263   
     628;   565.7591;          231   
     629;   566.6344;          237   
     630;   567.5097;          211   
     631;   568.3849;          193   
