Kanal;   Energie(keV); Impulse
     237;   223.5266;          154   
     238;   224.4019;          195   
     239;   225.2771;          190   
     240;   226.1524;          188   
     241;   227.0277;          171   
     242;   227.9030;          165   
     243;   228.7782;          171   
     244;   229.6535;          167   
     245;   230.5288;          151   
     246;   231.4041;          166   
     247;   232.2793;          150   
     248;   233.1546;          164   
     249;   234.0299;          161   
     250;   234.9052;          127   
     251;   235.7804;          138   
     252;   236.6557;          148   
     253;   237.5310;          121   
     254;   238.4063;          135   
     255;   239.2815;          160   
     256;   240.1568;          135   
     257;   241.0321;          118   
     258;   241.9074;          117   
     259;   242.7826;          128   
     260;   243.6579;          118   
     261;   244.5332;          125   
     262;   245.4085;          112   
     263;   246.2837;          102   
     264;   247.1590;           95   
     265;   248.0343;          121   
     266;   248.9096;          114   
     267;   249.7848;          116   
     268;   250.6601;          106   
     269;   251.5354;          111   
     270;   252.4107;          103   
     271;   253.2859;          109   
     272;   254.1612;          126   
     273;   255.0365;          117   
     274;   255.9118;          104   
     275;   256.7870;          107   
     276;   257.6623;          105   
     277;   258.5376;          107   
     278;   259.4129;          105   
     279;   260.2881;           89   
     280;   261.1634;           98   
     281;   262.0387;           99   
     282;   262.9140;           97   
     283;   263.7892;           95   
     284;   264.6645;           95   
     285;   265.5398;          112   
     286;   266.4151;           95   
     287;   267.2903;           98   
     288;   268.1656;          118   
     289;   269.0409;          114   
     290;   269.9162;           75   
     291;   270.7914;          128   
     292;   271.6667;           94   
     293;   272.5420;           86   
     294;   273.4173;           76   
     295;   274.2925;           86   
     296;   275.1678;           85   
     297;   276.0431;          120   
     298;   276.9184;          114   
     299;   277.7936;           96   
     300;   278.6689;          112   
     301;   279.5442;           82   
     302;   280.4195;           95   
     303;   281.2947;           96   
     304;   282.1700;           71   
     305;   283.0453;           89   
     306;   283.9206;           87   
     307;   284.7958;           70   
     308;   285.6711;           85   
     309;   286.5464;           75   
     310;   287.4217;           84   
     311;   288.2969;          104   
     312;   289.1722;           88   
     313;   290.0475;           93   
     314;   290.9228;          105   
     315;   291.7980;           93   
     316;   292.6733;           95   
     317;   293.5486;           97   
     318;   294.4239;           76   
     319;   295.2991;           76   
     320;   296.1744;           89   
     321;   297.0497;           90   
     322;   297.9250;           74   
     323;   298.8002;           83   
     324;   299.6755;           83   
     325;   300.5508;           75   
     326;   301.4261;           86   
     327;   302.3013;           83   
     328;   303.1766;           72   
     329;   304.0519;           99   
     330;   304.9272;           79   
     331;   305.8024;           58   
     332;   306.6777;           87   
     333;   307.5530;           91   
     334;   308.4283;           76   
     335;   309.3035;           91   
     336;   310.1788;           74   
     337;   311.0541;           87   
     338;   311.9294;           78   
     339;   312.8046;           80   
     340;   313.6799;           66   
     341;   314.5552;           69   
     342;   315.4305;           98   
