Kanal;   Energie(keV); Impulse
     245;   230.5288;          323   
     246;   231.4041;          330   
     247;   232.2793;          292   
     248;   233.1546;          325   
     249;   234.0299;          352   
     250;   234.9052;          313   
     251;   235.7804;          297   
     252;   236.6557;          307   
     253;   237.5310;          299   
     254;   238.4063;          305   
     255;   239.2815;          280   
     256;   240.1568;          287   
     257;   241.0321;          291   
     258;   241.9074;          349   
     259;   242.7826;          380   
     260;   243.6579;          294   
     261;   244.5332;          286   
     262;   245.4085;          274   
     263;   246.2837;          325   
     264;   247.1590;          636   
     265;   248.0343;         2112   
     266;   248.9096;         2283   
     267;   249.7848;          821   
     268;   250.6601;          304   
     269;   251.5354;          283   
     270;   252.4107;          256   
     271;   253.2859;          247   
     272;   254.1612;          238   
     273;   255.0365;          258   
     274;   255.9118;          250   
     275;   256.7870;          247   
     276;   257.6623;          222   
     277;   258.5376;          229   
     278;   259.4129;          250   
     279;   260.2881;          268   
     280;   261.1634;          269   
     281;   262.0387;          226   
     282;   262.9140;          217   
     283;   263.7892;          267   
     284;   264.6645;          238   
     285;   265.5398;          249   
     286;   266.4151;          225   
     287;   267.2903;          235   
     288;   268.1656;          224   
     289;   269.0409;          242   
     290;   269.9162;          227   
     291;   270.7914;          240   
     292;   271.6667;          236   
     293;   272.5420;          221   
     294;   273.4173;          230   
     295;   274.2925;          240   
     296;   275.1678;          235   
     297;   276.0431;          242   
     298;   276.9184;          196   
     299;   277.7936;          217   
     300;   278.6689;          201   
     301;   279.5442;          225   
     302;   280.4195;          210   
     303;   281.2947;          203   
     304;   282.1700;          215   
     305;   283.0453;          223   
     306;   283.9206;          194   
     307;   284.7958;          198   
     308;   285.6711;          194   
     309;   286.5464;          192   
     310;   287.4217;          197   
     311;   288.2969;          226   
     312;   289.1722;          207   
     313;   290.0475;          183   
     314;   290.9228;          216   
     315;   291.7980;          197   
     316;   292.6733;          193   
     317;   293.5486;          204   
     318;   294.4239;          170   
     319;   295.2991;          202   
     320;   296.1744;          214   
     321;   297.0497;          204   
     322;   297.9250;          184   
     323;   298.8002;          234   
     324;   299.6755;          312   
     325;   300.5508;          273   
     326;   301.4261;          221   
     327;   302.3013;          200   
     328;   303.1766;          202   
     329;   304.0519;          194   
     330;   304.9272;          161   
     331;   305.8024;          161   
     332;   306.6777;          165   
     333;   307.5530;          162   
     334;   308.4283;          177   
     335;   309.3035;          175   
     336;   310.1788;          189   
     337;   311.0541;          183   
     338;   311.9294;          157   
     339;   312.8046;          162   
     340;   313.6799;          167   
     341;   314.5552;          163   
     342;   315.4305;          160   
     343;   316.3057;          152   
     344;   317.1810;          161   
     345;   318.0563;          199   
     346;   318.9316;          169   
     347;   319.8068;          184   
     348;   320.6821;          183   
     349;   321.5574;          182   
     350;   322.4327;          175   
     351;   323.3079;          175   
     352;   324.1832;          170   
     353;   325.0585;          170   
     354;   325.9338;          157   
     355;   326.8090;          173   
     356;   327.6843;          170   
     357;   328.5596;          176   
     358;   329.4349;          176   
     359;   330.3101;          191   
     360;   331.1854;          174   
     361;   332.0607;          138   
     362;   332.9360;          170   
     363;   333.8112;          199   
     364;   334.6865;          166   
     365;   335.5618;          150   
     366;   336.4371;          169   
     367;   337.3123;          151   
     368;   338.1876;          140   
     369;   339.0629;          187   
     370;   339.9382;          167   
     371;   340.8134;          155   
     372;   341.6887;          146   
     373;   342.5640;          176   
     374;   343.4393;          160   
     375;   344.3145;          163   
     376;   345.1898;          149   
     377;   346.0651;          165   
     378;   346.9404;          407   
     379;   347.8156;         2673   
     380;   348.6909;         6058   
     381;   349.5662;         3564   
     382;   350.4415;          702   
     383;   351.3167;          177   
     384;   352.1920;          127   
     385;   353.0673;          140   
     386;   353.9426;          129   
     387;   354.8178;          133   
     388;   355.6931;          156   
     389;   356.5684;          179   
     390;   357.4437;          162   
     391;   358.3189;          135   
     392;   359.1942;          129   
     393;   360.0695;          104   
     394;   360.9448;          125   
     395;   361.8200;          121   
     396;   362.6953;          124   
     397;   363.5706;          125   
     398;   364.4459;          143   
     399;   365.3211;          134   
     400;   366.1964;          124   
     401;   367.0717;          123   
     402;   367.9470;          102   
     403;   368.8222;          141   
     404;   369.6975;          129   
     405;   370.5728;          133   
     406;   371.4481;          168   
     407;   372.3233;          315   
     408;   373.1986;          215   
     409;   374.0739;          123   
     410;   374.9492;          149   
     411;   375.8244;          127   
     412;   376.6997;          137   
     413;   377.5750;          126   
     414;   378.4503;          115   
     415;   379.3255;          120   
     416;   380.2008;           98   
     417;   381.0761;          122   
     418;   381.9514;          117   
     419;   382.8266;          111   
     420;   383.7019;          119   
     421;   384.5772;          115   
     422;   385.4525;          105   
     423;   386.3277;          118   
     424;   387.2030;          104   
     425;   388.0783;          106   
     426;   388.9536;          116   
     427;   389.8288;          126   
     428;   390.7041;          119   
     429;   391.5794;          128   
     430;   392.4547;          115   
     431;   393.3299;          103   
     432;   394.2052;          124   
     433;   395.0805;          105   
     434;   395.9558;          114   
     435;   396.8310;          127   
     436;   397.7063;          100   
     437;   398.5816;          104   
     438;   399.4569;          104   
     439;   400.3321;           97   
     440;   401.2074;          102   
     441;   402.0827;          102   
     442;   402.9580;           99   
     443;   403.8332;          103   
     444;   404.7085;           93   
     445;   405.5838;           84   
     446;   406.4591;           92   
     447;   407.3343;          125   
     448;   408.2096;          119   
     449;   409.0849;          103   
     450;   409.9602;          104   
     451;   410.8354;          115   
     452;   411.7107;           95   
     453;   412.5860;          123   
     454;   413.4613;          116   
     455;   414.3365;          133   
     456;   415.2118;          341   
     457;   416.0871;          465   
     458;   416.9624;          315   
     459;   417.8376;          143   
     460;   418.7129;           91   
     461;   419.5882;          108   
     462;   420.4635;          121   
     463;   421.3387;          129   
     464;   422.2140;          103   
     465;   423.0893;           98   
     466;   423.9646;           88   
     467;   424.8398;           94   
     468;   425.7151;          114   
     469;   426.5904;           99   
     470;   427.4657;          119   
     471;   428.3409;          112   
     472;   429.2162;           95   
     473;   430.0915;           99   
     474;   430.9668;           98   
     475;   431.8420;           88   
     476;   432.7173;          100   
     477;   433.5926;          107   
     478;   434.4679;          111   
     479;   435.3431;           98   
     480;   436.2184;          118   
     481;   437.0937;           98   
     482;   437.9690;          106   
     483;   438.8442;           95   
     484;   439.7195;           91   
     485;   440.5948;           93   
     486;   441.4701;          111   
     487;   442.3453;          107   
     488;   443.2206;          110   
     489;   444.0959;          101   
     490;   444.9712;           66   
     491;   445.8464;          115   
     492;   446.7217;          111   
     493;   447.5970;          181   
     494;   448.4723;          441   
     495;   449.3475;          636   
     496;   450.2228;          324   
     497;   451.0981;          126   
     498;   451.9734;           98   
     499;   452.8486;          108   
     500;   453.7239;           82   
     501;   454.5992;           79   
     502;   455.4745;           87   
     503;   456.3497;          111   
     504;   457.2250;           93   
     505;   458.1003;          100   
     506;   458.9756;           94   
     507;   459.8508;          108   
     508;   460.7261;           79   
     509;   461.6014;           78   
     510;   462.4767;          107   
     511;   463.3519;           83   
     512;   464.2272;           93   
     513;   465.1025;           88   
     514;   465.9778;           98   
     515;   466.8530;          104   
     516;   467.7283;           98   
     517;   468.6036;          112   
     518;   469.4789;           98   
     519;   470.3541;           80   
     520;   471.2294;           82   
     521;   472.1047;           86   
     522;   472.9800;           81   
     523;   473.8552;           93   
     524;   474.7305;           82   
     525;   475.6058;           84   
     526;   476.4811;           87   
     527;   477.3563;          108   
     528;   478.2316;           78   
     529;   479.1069;           84   
     530;   479.9822;           80   
     531;   480.8574;           97   
     532;   481.7327;           90   
     533;   482.6080;           95   
     534;   483.4833;           88   
     535;   484.3585;           92   
     536;   485.2338;           80   
     537;   486.1091;           86   
     538;   486.9844;           75   
     539;   487.8596;           93   
     540;   488.7349;           95   
