Kanal;   Energie(keV); Impulse
       1;    16.9617;         2895   
       2;    17.8370;         2836   
       3;    18.7122;         2798   
       4;    19.5875;         2698   
       5;    20.4628;         2574   
       6;    21.3381;         2646   
       7;    22.2133;         2563   
       8;    23.0886;         2475   
       9;    23.9639;         2453   
      10;    24.8392;         2454   
      11;    25.7144;         2366   
      12;    26.5897;         2346   
      13;    27.4650;         2211   
      14;    28.3403;         2180   
      15;    29.2155;         2203   
      16;    30.0908;         2167   
      17;    30.9661;         2041   
      18;    31.8414;         2114   
      19;    32.7166;         2131   
      20;    33.5919;         2138   
      21;    34.4672;         2226   
      22;    35.3425;         2172   
      23;    36.2177;         2200   
      24;    37.0930;         2082   
      25;    37.9683;         2189   
      26;    38.8436;         2149   
      27;    39.7188;         1972   
      28;    40.5941;         2058   
      29;    41.4694;         2093   
      30;    42.3447;         2078   
      31;    43.2199;         2041   
      32;    44.0952;         2044   
      33;    44.9705;         1990   
      34;    45.8458;         2095   
      35;    46.7210;         2132   
      36;    47.5963;         1990   
      37;    48.4716;         2062   
      38;    49.3469;         1860   
      39;    50.2221;         1924   
      40;    51.0974;         2006   
      41;    51.9727;         1945   
      42;    52.8480;         1863   
      43;    53.7232;         1921   
      44;    54.5985;         1870   
      45;    55.4738;         1881   
      46;    56.3491;         1911   
      47;    57.2243;         1902   
      48;    58.0996;         1919   
      49;    58.9749;         1921   
      50;    59.8502;         1926   
      51;    60.7254;         1971   
      52;    61.6007;         1934   
      53;    62.4760;         1927   
      54;    63.3513;         1921   
      55;    64.2265;         1854   
      56;    65.1018;         1950   
      57;    65.9771;         1979   
      58;    66.8524;         2023   
      59;    67.7276;         1990   
      60;    68.6029;         2007   
      61;    69.4782;         2067   
      62;    70.3535;         2074   
      63;    71.2287;         2031   
      64;    72.1040;         2147   
      65;    72.9793;         2249   
      66;    73.8546;         2734   
      67;    74.7298;         3243   
      68;    75.6051;         3062   
      69;    76.4804;         3915   
      70;    77.3557;         3460   
      71;    78.2309;         2337   
      72;    79.1062;         2154   
      73;    79.9815;         2030   
      74;    80.8568;         2182   
      75;    81.7320;         2175   
      76;    82.6073;         2191   
      77;    83.4826;         2296   
      78;    84.3579;         2311   
      79;    85.2331;         2629   
      80;    86.1084;         3378   
      81;    86.9837;         3252   
      82;    87.8590;         2556   
      83;    88.7342;         2680   
      84;    89.6095;         2515   
      85;    90.4848;         2350   
      86;    91.3601;         2281   
      87;    92.2353;         2268   
      88;    93.1106;         2277   
      89;    93.9859;         2164   
      90;    94.8612;         2236   
      91;    95.7364;         2249   
      92;    96.6117;         2127   
      93;    97.4870;         2283   
      94;    98.3623;         2263   
      95;    99.2375;         2269   
      96;   100.1128;         2290   
      97;   100.9881;         2139   
      98;   101.8634;         2254   
      99;   102.7386;         2244   
     100;   103.6139;         2276   
     101;   104.4892;         2381   
     102;   105.3645;         2247   
     103;   106.2397;         2228   
     104;   107.1150;         2275   
     105;   107.9903;         2267   
     106;   108.8656;         2275   
     107;   109.7408;         2268   
     108;   110.6161;         2355   
     109;   111.4914;         2396   
     110;   112.3667;         2348   
     111;   113.2419;         2400   
     112;   114.1172;         2412   
     113;   114.9925;         2359   
     114;   115.8678;         2316   
     115;   116.7430;         2428   
     116;   117.6183;         2375   
     117;   118.4936;         2438   
     118;   119.3689;         2352   
     119;   120.2441;         2423   
     120;   121.1194;         2496   
     121;   121.9947;         4660   
     122;   122.8700;        10919   
     123;   123.7452;         9653   
     124;   124.6205;         3624   
     125;   125.4958;         2352   
     126;   126.3711;         2363   
     127;   127.2463;         2315   
     128;   128.1216;         2264   
     129;   128.9969;         2287   
     130;   129.8722;         2313   
     131;   130.7474;         2301   
     132;   131.6227;         2274   
     133;   132.4980;         2305   
     134;   133.3733;         2266   
     135;   134.2485;         2201   
     136;   135.1238;         2359   
     137;   135.9991;         2320   
     138;   136.8744;         2239   
     139;   137.7496;         2210   
     140;   138.6249;         2321   
     141;   139.5002;         2288   
     142;   140.3755;         2204   
     143;   141.2507;         2412   
     144;   142.1260;         2275   
     145;   143.0013;         2294   
     146;   143.8766;         2328   
     147;   144.7518;         2265   
     148;   145.6271;         2258   
     149;   146.5024;         2300   
