Kanal;   Energie(keV); Impulse
     244;   229.6535;           63   
     245;   230.5288;           61   
     246;   231.4041;           56   
     247;   232.2793;           65   
     248;   233.1546;           54   
     249;   234.0299;           52   
     250;   234.9052;           44   
     251;   235.7804;           47   
     252;   236.6557;           58   
     253;   237.5310;           47   
     254;   238.4063;           48   
     255;   239.2815;           42   
     256;   240.1568;           44   
     257;   241.0321;           55   
     258;   241.9074;           41   
     259;   242.7826;           40   
     260;   243.6579;           46   
     261;   244.5332;           52   
     262;   245.4085;           41   
     263;   246.2837;           45   
     264;   247.1590;           44   
     265;   248.0343;           46   
     266;   248.9096;           42   
     267;   249.7848;           42   
     268;   250.6601;           47   
     269;   251.5354;           53   
     270;   252.4107;           44   
     271;   253.2859;           42   
     272;   254.1612;           57   
     273;   255.0365;           41   
     274;   255.9118;           34   
     275;   256.7870;           44   
     276;   257.6623;           38   
     277;   258.5376;           48   
     278;   259.4129;           38   
     279;   260.2881;           40   
     280;   261.1634;           42   
     281;   262.0387;           37   
     282;   262.9140;           41   
     283;   263.7892;           34   
     284;   264.6645;           32   
     285;   265.5398;           40   
     286;   266.4151;           37   
     287;   267.2903;           34   
     288;   268.1656;           43   
     289;   269.0409;           32   
     290;   269.9162;           34   
     291;   270.7914;           34   
     292;   271.6667;           33   
     293;   272.5420;           45   
     294;   273.4173;           34   
     295;   274.2925;           30   
     296;   275.1678;           32   
     297;   276.0431;           39   
     298;   276.9184;           25   
     299;   277.7936;           18   
     300;   278.6689;           34   
     301;   279.5442;           42   
     302;   280.4195;           38   
     303;   281.2947;           45   
     304;   282.1700;           33   
     305;   283.0453;           43   
     306;   283.9206;           33   
     307;   284.7958;           32   
     308;   285.6711;           33   
     309;   286.5464;           34   
     310;   287.4217;           33   
     311;   288.2969;           23   
     312;   289.1722;           27   
     313;   290.0475;           25   
     314;   290.9228;           27   
     315;   291.7980;           32   
     316;   292.6733;           33   
     317;   293.5486;           35   
     318;   294.4239;           26   
     319;   295.2991;           23   
     320;   296.1744;           27   
     321;   297.0497;           27   
     322;   297.9250;           28   
     323;   298.8002;           21   
     324;   299.6755;           25   
     325;   300.5508;           35   
     326;   301.4261;           21   
     327;   302.3013;           27   
     328;   303.1766;           29   
     329;   304.0519;           22   
     330;   304.9272;           31   
     331;   305.8024;           21   
     332;   306.6777;           27   
     333;   307.5530;           20   
     334;   308.4283;           26   
     335;   309.3035;           13   
     336;   310.1788;           26   
     337;   311.0541;           21   
     338;   311.9294;           31   
     339;   312.8046;           18   
     340;   313.6799;           25   
     341;   314.5552;           14   
     342;   315.4305;           18   
     343;   316.3057;           23   
     344;   317.1810;           15   
     345;   318.0563;           23   
     346;   318.9316;           27   
     347;   319.8068;           31   
     348;   320.6821;           23   
     349;   321.5574;           26   
     350;   322.4327;           25   
     351;   323.3079;           23   
     352;   324.1832;           17   
     353;   325.0585;           19   
     354;   325.9338;           25   
     355;   326.8090;           23   
     356;   327.6843;           22   
     357;   328.5596;           23   
     358;   329.4349;           17   
     359;   330.3101;           24   
     360;   331.1854;           17   
     361;   332.0607;           26   
     362;   332.9360;           27   
     363;   333.8112;           17   
     364;   334.6865;           23   
