#X,CH1
#Second,Volt,
5.10e-07,-5.28e-01
5.12e-07,-5.32e-01
5.14e-07,-5.52e-01
5.16e-07,-5.56e-01
5.18e-07,-5.68e-01
5.20e-07,-5.68e-01
5.22e-07,-5.80e-01
5.24e-07,-5.80e-01
5.26e-07,-5.88e-01
5.28e-07,-5.88e-01
5.30e-07,-5.96e-01
5.32e-07,-5.96e-01
5.34e-07,-6.00e-01
5.36e-07,-6.00e-01
5.38e-07,-6.00e-01
5.40e-07,-6.04e-01
5.42e-07,-6.08e-01
5.44e-07,-6.04e-01
5.46e-07,-6.12e-01
5.48e-07,-6.12e-01
5.50e-07,-6.12e-01
5.52e-07,-6.12e-01
5.54e-07,-6.12e-01
5.56e-07,-6.08e-01
5.58e-07,-5.96e-01
5.60e-07,-5.92e-01
5.62e-07,-5.72e-01
5.64e-07,-5.72e-01
5.66e-07,-5.56e-01
5.68e-07,-5.56e-01
5.70e-07,-5.44e-01
5.72e-07,-5.40e-01
5.74e-07,-5.32e-01
5.76e-07,-5.36e-01
5.78e-07,-5.28e-01
5.80e-07,-5.32e-01
5.82e-07,-5.28e-01
5.84e-07,-5.28e-01
5.86e-07,-5.24e-01
5.88e-07,-5.24e-01
5.90e-07,-5.16e-01
5.92e-07,-5.20e-01
5.94e-07,-5.12e-01
5.96e-07,-5.20e-01
5.98e-07,-5.12e-01
6.00e-07,-5.16e-01
6.02e-07,-5.12e-01
6.04e-07,-5.12e-01
6.06e-07,-5.16e-01
6.08e-07,-5.12e-01
6.10e-07,-5.12e-01
6.12e-07,-5.12e-01
6.14e-07,-5.12e-01
6.16e-07,-5.12e-01
6.18e-07,-5.08e-01
6.20e-07,-5.12e-01
6.22e-07,-5.08e-01
6.24e-07,-5.12e-01
6.26e-07,-5.08e-01
6.28e-07,-5.12e-01
6.30e-07,-5.08e-01
6.32e-07,-5.12e-01
6.34e-07,-5.04e-01
6.36e-07,-5.08e-01
6.38e-07,-5.04e-01
6.40e-07,-5.08e-01
6.42e-07,-5.08e-01
6.44e-07,-5.08e-01
6.46e-07,-5.08e-01
6.48e-07,-5.08e-01
6.50e-07,-5.08e-01
6.52e-07,-5.08e-01
6.54e-07,-5.04e-01
6.56e-07,-5.08e-01
6.58e-07,-5.04e-01
6.60e-07,-5.04e-01
6.62e-07,-5.08e-01
6.64e-07,-5.04e-01
6.66e-07,-5.04e-01
6.68e-07,-5.04e-01
6.70e-07,-5.00e-01
6.72e-07,-5.04e-01
6.74e-07,-5.00e-01
6.76e-07,-5.04e-01
6.78e-07,-5.08e-01
6.80e-07,-5.08e-01
6.82e-07,-5.00e-01
6.84e-07,-5.00e-01
6.86e-07,-5.08e-01
6.88e-07,-5.08e-01
6.90e-07,-5.00e-01
6.92e-07,-5.04e-01
6.94e-07,-5.04e-01
6.96e-07,-5.04e-01
6.98e-07,-5.00e-01
7.00e-07,-5.04e-01
7.02e-07,-5.00e-01
7.04e-07,-5.04e-01
7.06e-07,-5.00e-01
7.08e-07,-5.04e-01
7.10e-07,-5.00e-01
7.12e-07,-5.04e-01
7.14e-07,-5.00e-01
7.16e-07,-5.04e-01
7.18e-07,-5.00e-01
7.20e-07,-5.04e-01
7.22e-07,-5.00e-01
7.24e-07,-5.04e-01
7.26e-07,-5.04e-01
7.28e-07,-5.04e-01
7.30e-07,-5.00e-01
7.32e-07,-5.04e-01
7.34e-07,-5.00e-01
7.36e-07,-5.04e-01
7.38e-07,-5.00e-01
7.40e-07,-5.04e-01
7.42e-07,-5.00e-01
7.44e-07,-5.04e-01
7.46e-07,-5.00e-01
7.48e-07,-5.04e-01
7.50e-07,-5.00e-01
7.52e-07,-5.04e-01
7.54e-07,-5.00e-01
7.56e-07,-5.04e-01
7.58e-07,-5.00e-01
7.60e-07,-5.00e-01
7.62e-07,-4.96e-01
7.64e-07,-4.96e-01
7.66e-07,-4.92e-01
7.68e-07,-4.92e-01
7.70e-07,-4.88e-01
7.72e-07,-4.84e-01
7.74e-07,-4.84e-01
7.76e-07,-4.84e-01
7.78e-07,-4.80e-01
7.80e-07,-4.80e-01
7.82e-07,-4.80e-01
7.84e-07,-4.76e-01
7.86e-07,-4.80e-01
7.88e-07,-4.76e-01
7.90e-07,-4.72e-01
7.92e-07,-4.72e-01
7.94e-07,-4.68e-01
7.96e-07,-4.72e-01
7.98e-07,-4.68e-01
8.00e-07,-4.68e-01
8.02e-07,-4.68e-01
8.04e-07,-4.68e-01
8.06e-07,-4.68e-01
8.08e-07,-4.68e-01
8.10e-07,-4.68e-01
8.12e-07,-4.68e-01
8.14e-07,-4.68e-01
8.16e-07,-4.72e-01
8.18e-07,-4.80e-01
8.20e-07,-4.80e-01
8.22e-07,-4.84e-01
8.24e-07,-4.84e-01
8.26e-07,-4.84e-01
8.28e-07,-4.84e-01
8.30e-07,-4.84e-01
8.32e-07,-4.88e-01
8.34e-07,-4.84e-01
8.36e-07,-4.88e-01
8.38e-07,-4.84e-01
8.40e-07,-4.88e-01
8.42e-07,-4.88e-01
8.44e-07,-4.92e-01
8.46e-07,-4.88e-01
8.48e-07,-4.92e-01
8.50e-07,-4.88e-01
8.52e-07,-4.92e-01
8.54e-07,-4.96e-01
8.56e-07,-4.92e-01
8.58e-07,-4.96e-01
8.60e-07,-4.96e-01
8.62e-07,-4.92e-01
8.64e-07,-4.92e-01
8.66e-07,-4.96e-01
8.68e-07,-4.96e-01
8.70e-07,-4.96e-01
8.72e-07,-4.96e-01
8.74e-07,-4.96e-01
8.76e-07,-4.92e-01
8.78e-07,-4.96e-01
8.80e-07,-4.96e-01
8.82e-07,-4.96e-01
8.84e-07,-4.96e-01
8.86e-07,-4.96e-01
8.88e-07,-4.96e-01
8.90e-07,-4.96e-01
8.92e-07,-4.96e-01
8.94e-07,-4.96e-01
8.96e-07,-4.96e-01
8.98e-07,-4.96e-01
9.00e-07,-4.96e-01
9.02e-07,-4.96e-01
9.04e-07,-4.96e-01
9.06e-07,-4.96e-01
9.08e-07,-4.96e-01
9.10e-07,-4.96e-01
9.12e-07,-4.96e-01
9.14e-07,-4.96e-01
9.16e-07,-4.96e-01
9.18e-07,-4.96e-01
9.20e-07,-4.96e-01
9.22e-07,-4.96e-01
9.24e-07,-4.96e-01
9.26e-07,-4.96e-01
9.28e-07,-4.96e-01
