X,CH1
Second,Volt,
1.68e-07,-3.29e-02
1.70e-07,-3.36e-02
1.72e-07,-3.29e-02
1.74e-07,-3.36e-02
1.76e-07,-3.36e-02
1.78e-07,-3.29e-02
1.80e-07,-3.36e-02
1.82e-07,-3.36e-02
1.84e-07,-3.36e-02
1.86e-07,-3.36e-02
1.88e-07,-3.36e-02
1.90e-07,-3.36e-02
1.92e-07,-3.36e-02
1.94e-07,-3.36e-02
1.96e-07,-3.36e-02
1.98e-07,-3.36e-02
2.00e-07,-3.36e-02
2.02e-07,-3.36e-02
2.04e-07,-3.36e-02
2.06e-07,-3.43e-02
2.08e-07,-3.36e-02
2.10e-07,-3.43e-02
2.12e-07,-3.36e-02
2.14e-07,-3.36e-02
2.16e-07,-3.36e-02
2.18e-07,-3.36e-02
2.20e-07,-3.36e-02
2.22e-07,-3.36e-02
2.24e-07,-3.43e-02
2.26e-07,-3.36e-02
2.28e-07,-3.36e-02
2.30e-07,-3.43e-02
2.32e-07,-3.36e-02
2.34e-07,-3.43e-02
2.36e-07,-3.36e-02
2.38e-07,-3.43e-02
2.40e-07,-3.36e-02
2.42e-07,-3.43e-02
2.44e-07,-3.36e-02
2.46e-07,-3.43e-02
2.48e-07,-3.36e-02
2.50e-07,-3.43e-02
2.52e-07,-3.36e-02
2.54e-07,-3.36e-02
2.56e-07,-3.36e-02
2.58e-07,-3.36e-02
2.60e-07,-3.36e-02
2.62e-07,-3.29e-02
2.64e-07,-3.29e-02
2.66e-07,-3.36e-02
2.68e-07,-3.23e-02
2.70e-07,-3.36e-02
2.72e-07,-3.23e-02
2.74e-07,-3.36e-02
2.76e-07,-3.23e-02
2.78e-07,-3.29e-02
2.80e-07,-3.23e-02
2.82e-07,-3.29e-02
2.84e-07,-3.29e-02
2.86e-07,-3.23e-02
2.88e-07,-3.23e-02
2.90e-07,-3.29e-02
2.92e-07,-3.29e-02
2.94e-07,-3.23e-02
2.96e-07,-3.23e-02
2.98e-07,-3.29e-02
3.00e-07,-3.23e-02
3.02e-07,-3.29e-02
3.04e-07,-3.23e-02
3.06e-07,-3.29e-02
3.08e-07,-3.23e-02
3.10e-07,-3.29e-02
3.12e-07,-3.23e-02
3.14e-07,-3.29e-02
3.16e-07,-3.23e-02
3.18e-07,-3.29e-02
3.20e-07,-3.29e-02
3.22e-07,-3.23e-02
3.24e-07,-3.23e-02
3.26e-07,-3.29e-02
3.28e-07,-3.23e-02
3.30e-07,-3.29e-02
3.32e-07,-3.23e-02
3.34e-07,-3.23e-02
3.36e-07,-3.23e-02
3.38e-07,-3.23e-02
3.40e-07,-3.16e-02
3.42e-07,-3.29e-02
3.44e-07,-3.16e-02
3.46e-07,-3.29e-02
3.48e-07,-3.16e-02
3.50e-07,-3.29e-02
3.52e-07,-3.23e-02
3.54e-07,-3.16e-02
3.56e-07,-3.23e-02
3.58e-07,-3.16e-02
3.60e-07,-3.29e-02
3.62e-07,-3.23e-02
3.64e-07,-3.23e-02
3.66e-07,-3.29e-02
3.68e-07,-3.23e-02
